original_path,processed_path,label
..\data\raw\comedonal_closed\come_043.png,..\data\processed\comedonal_closed\comedonal_closed_0043.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_044.png,..\data\processed\comedonal_closed\comedonal_closed_0044.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_045.png,..\data\processed\comedonal_closed\comedonal_closed_0045.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_046.png,..\data\processed\comedonal_closed\comedonal_closed_0046.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_047.png,..\data\processed\comedonal_closed\comedonal_closed_0047.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_048.png,..\data\processed\comedonal_closed\comedonal_closed_0048.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_049.png,..\data\processed\comedonal_closed\comedonal_closed_0049.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_050.png,..\data\processed\comedonal_closed\comedonal_closed_0050.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_051.png,..\data\processed\comedonal_closed\comedonal_closed_0051.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_052.png,..\data\processed\comedonal_closed\comedonal_closed_0052.jpg,comedonal_closed
..\data\raw\comedonal_open\comeo_001.webp,..\data\processed\comedonal_open\comedonal_open_0001.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_002.png,..\data\processed\comedonal_open\comedonal_open_0002.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_003.webp,..\data\processed\comedonal_open\comedonal_open_0003.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_004.jpg,..\data\processed\comedonal_open\comedonal_open_0004.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_005.jpg,..\data\processed\comedonal_open\comedonal_open_0005.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_005.webp,..\data\processed\comedonal_open\comedonal_open_0006.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_006.png,..\data\processed\comedonal_open\comedonal_open_0007.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_007.png,..\data\processed\comedonal_open\comedonal_open_0008.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_008.png,..\data\processed\comedonal_open\comedonal_open_0009.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_009.jpg,..\data\processed\comedonal_open\comedonal_open_0010.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_010.webp,..\data\processed\comedonal_open\comedonal_open_0011.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_011.png,..\data\processed\comedonal_open\comedonal_open_0012.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_012.png,..\data\processed\comedonal_open\comedonal_open_0013.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_013.webp,..\data\processed\comedonal_open\comedonal_open_0014.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_014.jpg,..\data\processed\comedonal_open\comedonal_open_0015.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_015.jpg,..\data\processed\comedonal_open\comedonal_open_0016.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_016.jpg,..\data\processed\comedonal_open\comedonal_open_0017.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_017.jpg,..\data\processed\comedonal_open\comedonal_open_0018.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_018.jpg,..\data\processed\comedonal_open\comedonal_open_0019.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_019.jpg,..\data\processed\comedonal_open\comedonal_open_0020.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_020.jpg,..\data\processed\comedonal_open\comedonal_open_0021.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_021.jpg,..\data\processed\comedonal_open\comedonal_open_0022.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_022.jpg,..\data\processed\comedonal_open\comedonal_open_0023.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_023.jpg,..\data\processed\comedonal_open\comedonal_open_0024.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_024.jpg,..\data\processed\comedonal_open\comedonal_open_0025.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_025.jpg,..\data\processed\comedonal_open\comedonal_open_0026.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_026.jpg,..\data\processed\comedonal_open\comedonal_open_0027.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_027.jpg,..\data\processed\comedonal_open\comedonal_open_0028.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_028.jpg,..\data\processed\comedonal_open\comedonal_open_0029.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_029.jpg,..\data\processed\comedonal_open\comedonal_open_0030.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_030.jpg,..\data\processed\comedonal_open\comedonal_open_0031.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_031.jpg,..\data\processed\comedonal_open\comedonal_open_0032.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_032.jpg,..\data\processed\comedonal_open\comedonal_open_0033.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_033.jpg,..\data\processed\comedonal_open\comedonal_open_0034.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_033.webp,..\data\processed\comedonal_open\comedonal_open_0035.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_035.png,..\data\processed\comedonal_open\comedonal_open_0036.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_036.jpg,..\data\processed\comedonal_open\comedonal_open_0037.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_037.jpg,..\data\processed\comedonal_open\comedonal_open_0038.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_038.png,..\data\processed\comedonal_open\comedonal_open_0039.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_039.png,..\data\processed\comedonal_open\comedonal_open_0040.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_040.png,..\data\processed\comedonal_open\comedonal_open_0041.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_041.webp,..\data\processed\comedonal_open\comedonal_open_0042.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_042.png,..\data\processed\comedonal_open\comedonal_open_0043.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_043.png,..\data\processed\comedonal_open\comedonal_open_0044.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_044.png,..\data\processed\comedonal_open\comedonal_open_0045.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_045.webp,..\data\processed\comedonal_open\comedonal_open_0046.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_046.jpg,..\data\processed\comedonal_open\comedonal_open_0047.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_047.webp,..\data\processed\comedonal_open\comedonal_open_0048.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_048.png,..\data\processed\comedonal_open\comedonal_open_0049.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_049.jpg,..\data\processed\comedonal_open\comedonal_open_0050.jpg,comedonal_open
..\data\raw\comedonal_open\comeo_050.jpg,..\data\processed\comedonal_open\comedonal_open_0051.jpg,comedonal_open
..\data\raw\acne_excoriee\ae_001.webp,..\data\processed\acne_excoriee\acne_excoriee_0001.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_002.png,..\data\processed\acne_excoriee\acne_excoriee_0002.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_003.png,..\data\processed\acne_excoriee\acne_excoriee_0003.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_004.png,..\data\processed\acne_excoriee\acne_excoriee_0004.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_005.webp,..\data\processed\acne_excoriee\acne_excoriee_0005.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_006.jpg,..\data\processed\acne_excoriee\acne_excoriee_0006.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_007.png,..\data\processed\acne_excoriee\acne_excoriee_0007.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_008.jpg,..\data\processed\acne_excoriee\acne_excoriee_0008.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_009.jpg,..\data\processed\acne_excoriee\acne_excoriee_0009.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_010.jpg,..\data\processed\acne_excoriee\acne_excoriee_0010.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_011.png,..\data\processed\acne_excoriee\acne_excoriee_0011.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_012.png,..\data\processed\acne_excoriee\acne_excoriee_0012.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_013.png,..\data\processed\acne_excoriee\acne_excoriee_0013.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_014.png,..\data\processed\acne_excoriee\acne_excoriee_0014.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_015.png,..\data\processed\acne_excoriee\acne_excoriee_0015.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_016.png,..\data\processed\acne_excoriee\acne_excoriee_0016.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_017.png,..\data\processed\acne_excoriee\acne_excoriee_0017.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_018.jpg,..\data\processed\acne_excoriee\acne_excoriee_0018.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_019.png,..\data\processed\acne_excoriee\acne_excoriee_0019.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_020.jpg,..\data\processed\acne_excoriee\acne_excoriee_0020.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_021.jpg,..\data\processed\acne_excoriee\acne_excoriee_0021.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_022.png,..\data\processed\acne_excoriee\acne_excoriee_0022.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_023.png,..\data\processed\acne_excoriee\acne_excoriee_0023.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_024.png,..\data\processed\acne_excoriee\acne_excoriee_0024.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_025.png,..\data\processed\acne_excoriee\acne_excoriee_0025.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_026.png,..\data\processed\acne_excoriee\acne_excoriee_0026.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_027.png,..\data\processed\acne_excoriee\acne_excoriee_0027.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_028.png,..\data\processed\acne_excoriee\acne_excoriee_0028.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_029.png,..\data\processed\acne_excoriee\acne_excoriee_0029.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_030.png,..\data\processed\acne_excoriee\acne_excoriee_0030.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_031.png,..\data\processed\acne_excoriee\acne_excoriee_0031.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_032.png,..\data\processed\acne_excoriee\acne_excoriee_0032.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_033.png,..\data\processed\acne_excoriee\acne_excoriee_0033.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_034.png,..\data\processed\acne_excoriee\acne_excoriee_0034.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_035.png,..\data\processed\acne_excoriee\acne_excoriee_0035.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_036.png,..\data\processed\acne_excoriee\acne_excoriee_0036.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_037.png,..\data\processed\acne_excoriee\acne_excoriee_0037.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_038.png,..\data\processed\acne_excoriee\acne_excoriee_0038.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_039.png,..\data\processed\acne_excoriee\acne_excoriee_0039.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_040.png,..\data\processed\acne_excoriee\acne_excoriee_0040.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_041.png,..\data\processed\acne_excoriee\acne_excoriee_0041.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_042.png,..\data\processed\acne_excoriee\acne_excoriee_0042.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_043.png,..\data\processed\acne_excoriee\acne_excoriee_0043.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_044.png,..\data\processed\acne_excoriee\acne_excoriee_0044.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_045.png,..\data\processed\acne_excoriee\acne_excoriee_0045.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_046.png,..\data\processed\acne_excoriee\acne_excoriee_0046.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_047.png,..\data\processed\acne_excoriee\acne_excoriee_0047.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_048.png,..\data\processed\acne_excoriee\acne_excoriee_0048.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_049.png,..\data\processed\acne_excoriee\acne_excoriee_0049.jpg,acne_excoriee
..\data\raw\acne_excoriee\ae_050.png,..\data\processed\acne_excoriee\acne_excoriee_0050.jpg,acne_excoriee
..\data\raw\inflammatory_acne\inflam_001.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0001.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_002.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0002.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_003.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0003.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_004.webp,..\data\processed\inflammatory_acne\inflammatory_acne_0004.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_005.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0005.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_006.png,..\data\processed\inflammatory_acne\inflammatory_acne_0006.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_007.png,..\data\processed\inflammatory_acne\inflammatory_acne_0007.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_008.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0008.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_009.webp,..\data\processed\inflammatory_acne\inflammatory_acne_0009.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_010.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0010.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_011.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0011.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_012.webp,..\data\processed\inflammatory_acne\inflammatory_acne_0012.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_013.png,..\data\processed\inflammatory_acne\inflammatory_acne_0013.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_014.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0014.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_015.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0015.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_016.png,..\data\processed\inflammatory_acne\inflammatory_acne_0016.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_017.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0017.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_018.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0018.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_019.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0019.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_020.webp,..\data\processed\inflammatory_acne\inflammatory_acne_0020.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_021.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0021.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_022.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0022.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_023.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0023.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_024.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0024.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_025.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0025.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_026.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0026.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_027.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0027.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_028.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0028.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_029.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0029.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_030.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0030.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_031.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0031.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_032.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0032.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_033.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0033.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_034.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0034.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_035.png,..\data\processed\inflammatory_acne\inflammatory_acne_0035.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_036.png,..\data\processed\inflammatory_acne\inflammatory_acne_0036.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_037.png,..\data\processed\inflammatory_acne\inflammatory_acne_0037.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_038.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0038.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_039.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0039.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_040.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0040.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_041.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0041.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_042.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0042.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_043.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0043.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_044.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0044.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_045.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0045.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_046.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0046.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_047.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0047.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_048.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0048.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_049.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0049.jpg,inflammatory_acne
..\data\raw\inflammatory_acne\inflam_050.jpg,..\data\processed\inflammatory_acne\inflammatory_acne_0050.jpg,inflammatory_acne
..\data\raw\acne_scars\scar_001.webp,..\data\processed\acne_scars\acne_scars_0001.jpg,acne_scars
..\data\raw\acne_scars\scar_002.jpg,..\data\processed\acne_scars\acne_scars_0002.jpg,acne_scars
..\data\raw\acne_scars\scar_003.jpg,..\data\processed\acne_scars\acne_scars_0003.jpg,acne_scars
..\data\raw\acne_scars\scar_004.webp,..\data\processed\acne_scars\acne_scars_0004.jpg,acne_scars
..\data\raw\acne_scars\scar_005.webp,..\data\processed\acne_scars\acne_scars_0005.jpg,acne_scars
..\data\raw\acne_scars\scar_006.jpeg,..\data\processed\acne_scars\acne_scars_0006.jpg,acne_scars
..\data\raw\acne_scars\scar_007.jpg,..\data\processed\acne_scars\acne_scars_0007.jpg,acne_scars
..\data\raw\acne_scars\scar_008.webp,..\data\processed\acne_scars\acne_scars_0008.jpg,acne_scars
..\data\raw\acne_scars\scar_009.webp,..\data\processed\acne_scars\acne_scars_0009.jpg,acne_scars
..\data\raw\acne_scars\scar_010.png,..\data\processed\acne_scars\acne_scars_0010.jpg,acne_scars
..\data\raw\acne_scars\scar_011.jpg,..\data\processed\acne_scars\acne_scars_0011.jpg,acne_scars
..\data\raw\acne_scars\scar_012.webp,..\data\processed\acne_scars\acne_scars_0012.jpg,acne_scars
..\data\raw\acne_scars\scar_013.webp,..\data\processed\acne_scars\acne_scars_0013.jpg,acne_scars
..\data\raw\acne_scars\scar_014.webp,..\data\processed\acne_scars\acne_scars_0014.jpg,acne_scars
..\data\raw\acne_scars\scar_015.webp,..\data\processed\acne_scars\acne_scars_0015.jpg,acne_scars
..\data\raw\acne_scars\scar_016.png,..\data\processed\acne_scars\acne_scars_0016.jpg,acne_scars
..\data\raw\acne_scars\scar_017.png,..\data\processed\acne_scars\acne_scars_0017.jpg,acne_scars
..\data\raw\acne_scars\scar_018.png,..\data\processed\acne_scars\acne_scars_0018.jpg,acne_scars
..\data\raw\acne_scars\scar_019.png,..\data\processed\acne_scars\acne_scars_0019.jpg,acne_scars
..\data\raw\acne_scars\scar_020.png,..\data\processed\acne_scars\acne_scars_0020.jpg,acne_scars
..\data\raw\acne_scars\scar_021.png,..\data\processed\acne_scars\acne_scars_0021.jpg,acne_scars
..\data\raw\acne_scars\scar_022.png,..\data\processed\acne_scars\acne_scars_0022.jpg,acne_scars
..\data\raw\acne_scars\scar_023.png,..\data\processed\acne_scars\acne_scars_0023.jpg,acne_scars
..\data\raw\acne_scars\scar_024.png,..\data\processed\acne_scars\acne_scars_0024.jpg,acne_scars
..\data\raw\acne_scars\scar_025.png,..\data\processed\acne_scars\acne_scars_0025.jpg,acne_scars
..\data\raw\acne_scars\scar_026.png,..\data\processed\acne_scars\acne_scars_0026.jpg,acne_scars
..\data\raw\acne_scars\scar_027.png,..\data\processed\acne_scars\acne_scars_0027.jpg,acne_scars
..\data\raw\acne_scars\scar_028.png,..\data\processed\acne_scars\acne_scars_0028.jpg,acne_scars
..\data\raw\acne_scars\scar_029.png,..\data\processed\acne_scars\acne_scars_0029.jpg,acne_scars
